timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_203720,,1,51.299,default,768m,0.45,0.5,4,9.44,1.8,10.62,101.98,307.5,397,2272,1,667
20260420_203720,,6,19.157,default,768m,0.45,0.5,4,9.44,1.86,10.62,112.32,323.75,112,694,0,0
20260420_203720,,5,39.879,default,768m,0.45,0.5,4,9.44,13.59,22.89,123.82,370.08,135,1245,1,750
20260420_203720,,3,35.692,default,768m,0.45,0.5,4,10.49,20.46,30.95,138.22,372.56,151,1188,0,0
20260420_203720,,5,33.044,default,768m,0.45,0.5,4,10.49,20.46,30.95,138.22,377.98,135,1247,1,740
20260420_203720,,3,32.31,default,768m,0.45,0.5,4,10.49,20.46,30.95,138.22,382.73,146,1304,1,790
20260420_203720,,6,16.872,default,768m,0.45,0.5,4,10.49,20.46,30.95,138.77,382.86,106,764,0,0
20260420_203720,,1,47.093,default,768m,0.45,0.5,4,10.49,20.46,30.95,138.77,393.34,332,2269,1,679
20260420_203720,,5,28.501,default,768m,0.45,0.5,4,10.49,20.46,30.95,156.02,396.81,113,971,0,0
20260420_203720,,6,17.256,default,768m,0.45,0.5,4,10.49,20.46,30.95,156.02,407.35,90,658,1,454
20260420_203720,,1,46.019,default,768m,0.45,0.5,4,10.49,20.46,30.95,156.02,407.35,332,2189,0,0
20260420_203720,,3,30.371,default,768m,0.45,0.5,4,10.49,20.46,30.95,162.18,407.94,128,1091,0,0
